id,nombre_lugar,direccion,id_distrito,latitud,longitud
1,Alameda Palestina,"Alameda Palestina, Zarate",2,-12.0279720,-77.0105020
2,El Pueblito,San Silvestre,2,-12.0170710,-77.0040820
3,Alameda de la Mujer,Canto Grande,2,-11.9852230,-77.0118570
4,Polideportivo San Carlos,San Carlos,2,-11.9882760,-77.0058280
5,Piletas Cruz de Motupe,Cruz de Motupe,2,-11.9404380,-76.9749460
